,description,link,location,phone,service_name,va_facility
735,The Central Texas Veterans Health Care System provides rehabilitation services that emphasize independent functioning.,/services/PMRS/Preservation_Amputation_for_Veterans_Everywhere.asp,"Temple, Building 163, Room BB120Waco 4800 Memorial Drive, Waco, TX  76711Austin 7901 Metropolis Dr, Austin, TX 78744",254-743-2632,Preservation Amputation for Veterans Everywhere (PAVE),www.centraltexas
736,PSAS provides a full range of equipment and services to Veterans.,/services/ProstheticsSensoryAids.asp,"Temple, Building 163, Room 546Austin, Building 1, Room 1E101Waco, Building 12, Room B101",254-743-2153,Prosthetics and Sensory Aids,www.centraltexas
737,The Department of Veterans Affairs in Central Texas offers an APA-approved internship program for pre-doctoral level clinical psychology students.,/services/Psychology.asp,"1901 Veterans Memorial Drive, Temple, TX",254-743-2867 Ext. 42867  512-823-4626,Psychology Internship,www.centraltexas
738,The Quality Management Service focuses on the Veteran and organizational functions that promote positive patient outcomes by standardizing processes.,/services/QualityManagement.asp,"Temple, Building 204, Room 1G25",254-743-2422,Quality Management,www.centraltexas
739,The Central Texas Veterans Health Care System provides rehabilitation services that emphasize independent functioning.,/services/PMRS/RecreationalTherapy.asp,"Temple, Building 163, Room BB120Waco 4800 Memorial Drive, Waco, TX  76711Austin 7901 Metropolis Dr, Austin, TX 78744",254-743-2632,Recreational Therapy,www.centraltexas
740,Our research and development program enhances our ability to provide state-of-the-art medical interventions and treatments to Veterans.,/services/ResearchP.asp,"Temple,TX",254-743-1974,Research,www.centraltexas
741,Social work is an integral part of health care. Our social work program assists Veterans with counseling and community services. Read more about our services.,/services/SocialWork.asp,TempleWacoAustin,254-743-0963,Social Work,www.centraltexas
742,The Central Texas Veterans Health Care System provides rehabilitation services that emphasize independent functioning.,/services/PMRS/Speech_LanguagePathology.asp,"Temple, Building 163, Room BB120Waco 4800 Memorial Drive, Waco, TX  76711Austin 7901 Metropolis Dr, Austin, TX 78744",254-743-2632,Speech-Language Pathology Program,www.centraltexas
743,The Austin Outpatient clinic has a suicide prevention coordinator and case manager to make sure Veterans receive needed counseling and services.,/services/Suicide_Prevention_Austin.asp,"Austin, 2B-188",512-823-4624  800-273-8255,"Suicide Prevention, Social Work, Austin",www.centraltexas
744,The Mission of the Suicide Prevention Program is to foster awareness of Veterans in crisis and provide services to assist Veterans and their families.,/services/Suicide_Prevention.asp,"Temple, Building 147, Room E116",254-743-2786  800-273-8255,"Suicide Prevention, Social Work, Temple",www.centraltexas
745,The Mission of the Suicide Prevention Program is to foster awareness of Veterans in crisis and provide services to assist Veterans and their families.,/services/Suicide_Prevention_Waco.asp,"Waco, Building 91, Room 2A-115",254-297-3228  800-273-8255,"Suicide Prevention, Social Work, Waco",www.centraltexas
746,The Central Texas Veterans Health Care System provides rehabilitation services that emphasize independent functioning.,/services/PMRS/Traumatic_Brain_Injury.asp,"Temple, Building 163, Room BB120Waco 4800 Memorial Drive, Waco, TX  76711Austin 7901 Metropolis Dr, Austin, TX 78744",254-743-2632,Traumatic Brain Injury (TBI),www.centraltexas
747,The Health Promotion Disease Prevention (HPDP) Program assists with disease prevention.,/services/HPDP.asp,Temple,254-743-1304  254-743-0061,Weight Management,www.centraltexas
748,Women's Trauma Recovery Center treats women Veterans diagnosed with Post Traumatic Stress Disorder (PTSD) as a result of Military Sexual Trauma (MST).,/services/WomenTraumaRecoveryCenter.asp,"Temple, Waco and Austin",254-743-0390  800-423-2111 Ext. 40390,Women's Trauma Recovery Center,www.centraltexas
749,We provide customer-focused audiology services to Veterans which promote independence and quality of life,/services/Audiology.asp,"Building 1, Northampton",413-584-4040,Audiology,www.centralwesternmass
750,"Whether you and the Veteran you care for could use some help at home or you just need someone to listen, we're here to support you.",/services/Caregiver_Program.asp,Northampton and all clinics,413-584-4040 Ext. 2554,Caregiver Program,www.centralwesternmass
751,Provides vocational opportunities to Veterans to assist with the successful reintegration into the community.,/services/cwt.asp,"Building 5, Northampton",413-584-4040 Ext. ask for 'CWT',Compensated Work Therapy,www.centralwesternmass
752,"The Extended Care and Rehabilitation Program at VAMC Northampton offers Physical Medicine and Rehabilitation, Extended Care Center, and Home and Community Care",/services/Extended_Care_and_Rehabilitation.asp,VA Central Western Massachusetts Healthcare System,413-584-4040,Extended Care and Rehabilitation,www.centralwesternmass
753,"The program encourages a healthy lifestyle through healthy eating, regular exercise, and preventive care.",/services/Health_and_Wellness.asp,VA Central Western Massachusetts Healthcare System,413-582-3180  413-584-4040 Ext. 2813,Healthy Living,www.centralwesternmass
754,"If you are a Veteran who has lost your home, receive the support youve earned to get back on your feet.",/services/Homeless_Veterans.asp,Northampton VAMC,413-584-4040 Ext. 2133,Homeless Veterans,www.centralwesternmass
755,"Horticultural therapy provides Veteran patients with physical activity and a healing, positive environment in working in greenhouses and ornamental gardens.",/services/Horticultural_Therapy.asp,Bear Hill GardensNorthampton campus,413-584-4040,Horticultural Therapy,www.centralwesternmass
756,"MOVE! is a weight management program to help veterans lose weight, keep it off, and improve their health.",/services/MOVE.asp,VA Central Western Massachusetts Healthcare System,413-584-4040,MOVE! Weight Management Program,www.centralwesternmass
757,"The mental health service provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",/services/Mental_Health.asp,VA Central Western Massachusetts Healthcare System,413-584-4040,Mental Health,www.centralwesternmass
758,Provides excellent comprehensive and innovative nutrition and food service programs for our Veterans and stakeholders.,/services/Nutrition_and_Food_Services.asp,VA Central Western Massachusetts Healthcare System,413-584-4040 Ext. 3111,Nutrition and Food Services,www.centralwesternmass
759,On site pharmacy services are available at the Northampton VA Medical Center in Leeds and at satellite clinics in Worcester and Springfield.,/services/pharmacy.asp,VA Central Western Massachusetts Healthcare System,415-582-3028,Pharmacy,www.centralwesternmass
760,The Primary Care Service Line for VA Central Western Massachusetts offers an extensive range of treatments with emphasis on healthy living and wellness.,/services/Primary_Care.asp,VA Central Western Massachusetts Healthcare System,413-584-4040,Primary Care,www.centralwesternmass
761,VA is ready to provide health care and other medical services to our nation's returning OEF/OIF/OND Servicemembers.,/services/Returning_Service_Members.asp,Building 1Northampton VAMC,413-584-4040 Ext. 2027,Returning Service Members,www.centralwesternmass
762,We help veterans and their families with problems associated with the stress of an illness.,/services/Social_Work.asp,VA Central Western Massachusetts Healthcare System,413-584-4040,Social Work,www.centralwesternmass
763,"Northampton VA Medical Center provides primary, mental health, and long term care to the veteran population of western Massachusetts.",/services/Specialty_Care.asp,VA Central Western Massachusetts Healthcare System,413-584-4040,Specialty Care,www.centralwesternmass
764,"VIST Program is designed to improve quality of life for participants by developing skills needed for personal independence, adjustment, and successful reintegration.",/services/Visual_Impairment_Services_Team_Program_VIST.asp,VA Central Western Massachusetts Healthcare System,413-584-4040 Ext. 2058,Visual Impairment Services Team Program (VIST),www.centralwesternmass
765,Services available to women Veterans include comprehensive primary care as well as specialty care such as reproductive services and treatment for military sexual trauma.,/services/Women_Veterans.asp,Northampton VAMC,413-584-4040 Ext. 2240,Women Veterans,www.centralwesternmass
766,"Bariatric, or weight loss, surgery is designed to assist veterans in improving their health and quality of life by using a surgical procedure for weight reduction.",/services/Bariatric.asp,Charleston VA Medical CenterSpecialty Clinic1st Floor,843-789-7330  888-878-6884,Bariatric Surgery,www.charleston
767,The Charleston VAMC Department of Anesthesiology provides comprehensive anesthesiology care for Veteran patients.,/services/Department_of_Anesthesiology.asp,1st floor,843-577-5011  888-789-7345,Department of Anesthesiology,www.charleston
768,"The mission of EEO is to continuously promote non-discriminatory hiring and fully empower individuals to act within laws, regulations and policies.",/services/Equal_Employment_Opportunity.asp,109 Bee Street,843-789-6326,Equal Employment Opportunity,www.charleston
769,Geriatrics and Extended Care is a section organized within Medical Service.,/services/Geriatrics.asp,Charleston VAMC,843-789-7057,Geriatrics and Extended Care,www.charleston
770,"HEROIC is focused on eliminating geographic, racial/ethnic, and gender-based disparities through research in health equity, access to care and rural health.",/services/HEROIC.asp,Ralph H. Johnson VA Medical Center,843-577-5011 Ext. 6875  843-577-5011 Ext. 7587,Health Equity and Rural Outreach Innovation Center,www.charleston
771,"The HPDP Program at the Charleston VAMC provides Veterans with comprehensive health education, clinical services and support for health-related behaviors.",/services/HPDP.asp,Ralph H. Johnson VA Medical Center,843-577-5011 Ext. 6914,Health Promotion and Disease Prevention (HPDP),www.charleston
772,Hospices care for the veteran with honor and dignity and provide comfort and care for the veteran and support for their families during the end of life.,/services/Hospice_Services_for_Veterans.asp,Ralph H. Johnson VA Medical Center,843-789-7426,Hospice Services for Veterans,www.charleston
773,Our palliative care inpatient beds are dedicated to the support and care of veterans with life-limiting illnesses.,/services/Inpatient_Palliative_Care.asp,Ralph H. Johnson VA Medical Center,843-577-5011  888-878-6884,Inpatient Palliative Care,www.charleston
774,The primary mission is to increase local awareness of minority Veteran related issues and develop strategies for increasing their participation in existing VA programs.,/services/Minority_Veterans_Program.asp,"Mariecia Smith, Program CoordinatorRalph H. Johnson VA Medical Center",843-577-5011 Ext. 7948,Minority Veterans Program,www.charleston
775,"Nutrition Services provide high quality comprehensive nutrition care to Veterans and their caregivers, family members, and significant others.",/services/nutrition.asp,Ralph H. Johnson VA Medical Center,843-577-5011  888-878-6884,Nutrition Services,www.charleston
776,Palliative care is a medical specialty that helps patients and their families live as fully as possible when faced with a life-limiting illness.,/services/Palliative_Care.asp,Ralph H. Johnson VA Medical Center,843-577-5011  888-878-6884,Palliative Care,www.charleston
777,"Patient and Family centered care is an approach to the planning, delivery and evaluation of healthcare among healthcare providers, patients and families.",/services/Patient_and_Family_Centered_Care.asp,Ralph H. Johnson VA Medical Center,843-789-6732,Patient and Family Centered Care (PFCC),www.charleston
778,"The Charleston VAMC pharmacy processes over 3,600 prescriptions daily. Prescriptions may be refilled by phone, online, or by mail.",/services/pharmacy.asp,Outpatient Pharmacy1st floor,843-577-5011 Ext. 15220  888-878-6884 Ext. 1,Pharmacy,www.charleston
779,Radiology Services at the Ralph H. Johnson VA Medical Center.,/services/Radiology.asp,109 Bee Street,843-789-7335,Radiology,www.charleston
